DATALOAD,IRV_ASSET,,EN
,1006596,2014-63764,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TECHNICAL POWER,1,1,2010,FACILITIES,MEM,AM13,,,5,2,20,2014-63764,,1,13,2014-04-22T13:08:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006596,2014-63765,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB/TP/4R,1,1,2010,FACILITIES,EATON MEM,AM10,,,5,2,20,2014-63765,,1,10,2014-04-22T13:09:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006596,2014-63766,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB/UPS/PB/3L1,1,1,1995,FACILITIES,MERLIN GERIN,MGA6N,,,5,2,20,2014-63766,,1,6,2014-04-22T13:11:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006597,2014-63784,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,N/A,1,1,2010,FACILITIES,ABB,HIGH LEVEL,,,5,2,20,2014-63784,,1,High Level,2014-04-22T14:07:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006598,2014-63779,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP2/2L1,1,1,1990,FACILITIES,FEDERAL ELECTRIC,NOT PRESENT,,,4,2,20,2014-63779,,1,8,2014-04-22T13:41:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006599,2014-63741,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,NO ID,1,1,1990,FACILITIES,NOT PRESENT,NOT PRESENT,,,4,1,20,2014-63741,,1,4,2014-04-22T11:33:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006600,2014-63781,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB UPS/PB/2L1,1,1,1990,FACILITIES,FEDERAL ELECTRIC,NOT PRESENT,,,4,2,20,2014-63781,,1,8,2014-04-22T13:45:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006601,2014-63782,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB UPS/PB/1L1,1,1,1990,FACILITIES,FEDERAL ELECTRIC,NOT PRESENT,,,4,2,20,2014-63782,,2,8,2014-04-22T13:48:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006602,2014-63772,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,DETA,NOT PRESENT,,,5,4,10,2014-63772,,1,,2014-04-22T13:21:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006603,2014-63773,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,DETA,NOT PRESENT,,,5,4,10,2014-63773,,1,,2014-04-22T13:24:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006604,2014-63783,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,DETA,NOT PRESENT,,,5,4,10,2014-63783,,1,,2014-04-22T13:50:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006605,2014-63785,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,DETA,NOT PRESENT,,,5,4,10,2014-63785,,1,,2014-04-22T14:13:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006606,2014-63791,BBCADD009,DOOR - POWER OPERATED - SLIDING,N/A,1,1,2005,FACILITIES,TEST VALLEY MOBILITY,NOT PRESENT,,,5,4,15,2014-63791,,1,,2014-04-22T14:33:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006606,2014-68319,BBCADD009,EXTRACT FAN,N/A,1,1,2000,FACILITIES,NUAIRE,NOT PRESENT,,,4,4,20,2014-68319,,1,Not Present,2014-04-22T16:04:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006607,2014-63718,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP2/3L2,1,1,1990,FACILITIES,FEDERAL ELECTRIC,D4,,,4,2,20,2014-63718,,1,4,2014-04-22T10:40:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006607,2014-63719,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP/9A,1,1,2010,FACILITIES,EATON MEM,EAM7,,,5,2,20,2014-63719,,1,7,2014-04-22T10:42:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006607,2014-63720,BBCADD009,ELECTRICAL CONTROLS,UPS ALARM MONITOR,1,1,1990,FACILITIES,UNIVERSAL POWER SYSTEMS,NOT PRESENT,,,0,1,10,2014-63720,,1,,2014-04-22T10:43:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006607,2014-63721,BBCADD009,ELECTRICAL CONTROLS,UPS ALARM MONITOR,1,1,1990,FACILITIES,UNIVERSAL POWER SYSTEMS,NOT PRESENT,,,0,1,10,2014-63721,,1,,2014-04-22T10:45:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909235,BBCADD009,CCTV CAMERAS,CCTV CAMERAS,1,1,1995,FACILITIES,,,,,4,2,15,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909236,BBCADD009,DISTRIBUTION PIPEWORK AND CONTROL VALVES,DISTRIBUTION PIPEWORK AND CONTROL VALVES - WATER,1,1,1990,FACILITIES,,,,,4,3,30,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909237,BBCADD009,EMERGENCY LIGHTING,EMERGENCY LIGHTING,1,1,1995,FACILITIES,,,,,4,2,5,,,17,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909238,BBCADD009,FAN COIL UNITS,FAN COIL UNITS,1,1,1995,FACILITIES,,,,,5,3,15,,,4,,2014-04-23T09:32:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006574,2014-909239,BBCADD009,FIRE BLANKETS,FIRE BLANKETS,1,1,2005,FACILITIES,,,,,5,2,10,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909240,BBCADD009,FIRE EXTINGUISHERS (CO2),FIRE EXTINGUISHERS (CO2),1,1,2013,FACILITIES,,,,,5,2,8,,,5,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909241,BBCADD009,FIRE EXTINGUISHERS (WATER),FIRE EXTINGUISHERS (WATER),1,1,2013,FACILITIES,,,,,5,2,8,,,4,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909242,BBCADD009,GENERAL & TASK LIGHTING,GENERAL & TASK LIGHTING,1,1,2005,FACILITIES,,,,,5,3,20,,,79,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909243,BBCADD009,GENERAL DUCTWORK,GENERAL DUCTWORK,1,1,1990,FACILITIES,,,,,4,3,40,,,1,,2014-04-23T09:32:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006574,2014-909244,BBCADD009,INTERNAL CEILINGS,INTERNAL CEILINGS,1,1,2000,FACILITIES,,,,,4,4,20,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909245,BBCADD009,INTERNAL FLOOR & FLOOR COVERINGS,INTERNAL FLOOR & FLOOR COVERINGS,1,1,2000,FACILITIES,,,,,4,4,10,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909246,BBCADD009,INTERNAL WALLS AND FINISHES,INTERNAL WALLS AND FINISHES,1,1,2000,FACILITIES,,,,,4,4,20,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909247,BBCADD009,TAPS,TAPS,1,1,2005,FACILITIES,,,,,5,4,25,,,7,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909248,BBCADD009,TOILET/URINAL,TOILETS/URINAL,1,1,1990,FACILITIES,,,,,4,4,25,,,7,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006574,2014-909249,BBCADD009,"WINDOW, FRAMES, WINDOW FURNITURE & INTERNAL BLINDS",WINDOW  FRAMES  WINDOW FURNITURE & INTERNAL BLINDS,1,1,2000,FACILITIES,,,,,4,4,20,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006608,2014-63753,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,2012,FACILITIES,AIRFLOW,PRIME 12 R410 AW,,7SP022770,5,2,15,2014-63753,,1,Not Present,2014-04-22T12:23:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006608,2014-63754,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP2/7L1,1,1,2012,FACILITIES,MK,NOT PRESENT,,,5,2,20,2014-63754,,1,19,2014-04-22T12:25:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006609,2014-63815,BBCADD009,ELECTRIC WATER HEATERS,N/A,1,1,2010,FACILITIES,HEATRAE SADIA,SUPREME,,,5,4,12,2014-63815,,1,Not Present,2014-04-22T15:26:00+00:00,Litres,BBC,,,,GB,OPERATING,,,
,1006609,2014-63816,BBCADD009,MACERATOR / SANIFLOW,N/A,1,1,2005,FACILITIES,ABS,NOT PRESENT,,NOT PRESENT,4,3,12,2014-63816,,1,N/A,2014-04-22T15:27:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006610,2014-63807,BBCADD009,SPLIT SYSTEM OUTDOOR UNIT,N/A,1,1,2009,FACILITIES,AIRWELL,GCAO,,NOT PRESENT,5,2,10,2014-63807,,1,Not Present,2014-04-22T15:12:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006611,2014-63808,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB BBC-TP,1,1,1995,FACILITIES,SQUARE D,NOT PRESENT,,,5,2,20,2014-63808,,1,9,2014-04-22T15:15:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006611,2014-63809,BBCADD009,ELECTRIC METER,N/A,1,1,2003,FACILITIES,JW INSTRUMENTS,5196B,,,5,4,20,2014-63809,,1,100,2014-04-22T15:17:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006611,2014-63810,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB MP-6F-02,1,1,1995,FACILITIES,SQUARE D,QO310036,,,4,2,20,2014-63810,,1,36,2014-04-22T15:18:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006611,2014-63811,BBCADD009,ELECTRIC METER,N/A,1,1,2003,FACILITIES,ISKRA,MT300-D2A41-L11,,,5,4,20,2014-63811,,1,120,2014-04-22T15:19:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006611,2014-63812,BBCADD009,ELECTRIC METER,N/A,1,1,2003,FACILITIES,ISKRA,MT300-D2A41-L11,,,5,4,20,2014-63812,,1,120,2014-04-22T15:20:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006611,2014-63813,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB NDB-6F-02,1,1,1995,FACILITIES,SQUARE D,QO310036,,,4,2,20,2014-63813,,1,36,2014-04-22T15:21:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006612,2014-63817,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,HEATRAE SADIA,HANDYDRI 14,,,5,4,10,2014-63817,,1,,2014-04-22T15:33:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006613,2014-63818,BBCADD009,HAND DRYERS,N/A,1,1,2010,FACILITIES,HEATRAE SADIA,HANDYDRI 14,,,5,4,10,2014-63818,,1,,2014-04-22T15:36:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909205,BBCADD009,DISTRIBUTION PIPEWORK AND CONTROL VALVES,DISTRIBUTION PIPEWORK AND CONTROL VALVES - AIR CONDITIONING,1,1,2005,FACILITIES,,,,,5,3,30,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909206,BBCADD009,EMERGENCY LIGHTING,EMERGENCY LIGHTING,1,1,2005,FACILITIES,,,,,5,2,5,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909207,BBCADD009,EMERGENCY LIGHTING,EMERGENCY LIGHTING,1,1,2010,FACILITIES,,,,,5,2,5,,,1,,2014-04-25T12:22:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909208,BBCADD009,FAN COIL UNITS,FAN COIL UNITS,1,1,1995,FACILITIES,,,,,4,3,15,,,2,,2014-04-23T09:32:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006571,2014-909209,BBCADD009,FIRE EXTINGUISHERS (CO2),FIRE EXTINGUISHERS (CO2),1,1,2013,FACILITIES,,,,,5,2,8,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909210,BBCADD009,FIRE EXTINGUISHERS (CO2),FIRE EXTINGUISHERS (CO2),1,1,2013,FACILITIES,,,,,5,2,8,,,1,,2014-04-25T12:22:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909211,BBCADD009,GENERAL & TASK LIGHTING,GENERAL & TASK LIGHTING,1,1,1950,FACILITIES,,,,,5,3,20,,,2010,,2014-04-25T12:22:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909212,BBCADD009,GENERAL & TASK LIGHTING,GENERAL & TASK LIGHTING,1,1,1990,FACILITIES,,,,,4,3,20,,,9,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909213,BBCADD009,GENERAL DUCTWORK,GENERAL DUCTWORK,1,1,1990,FACILITIES,,,,,4,3,40,,,1,,2014-04-23T09:32:00+00:00,m/Hour,BBC,,,,GB,OPERATING,,,
,1006571,2014-909214,BBCADD009,INTERNAL CEILINGS,INTERNAL CEILINGS,1,1,2000,FACILITIES,,,,,4,4,20,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909215,BBCADD009,INTERNAL FLOOR & FLOOR COVERINGS,INTERNAL FLOOR & FLOOR COVERINGS,1,1,2000,FACILITIES,,,,,4,4,10,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006571,2014-909216,BBCADD009,INTERNAL WALLS AND FINISHES,INTERNAL WALLS AND FINISHES,1,1,2000,FACILITIES,,,,,4,4,20,,,1,,2014-04-23T09:32:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006614,2014-63823,BBCADD009,SPLIT SYSTEM OUTDOOR UNIT,N/A,1,1,2000,FACILITIES,DAIKIN,HIGH LEVEL,,HIGH LEVEL,4,1,10,2014-63823,,1,High Level,2014-04-25T10:52:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006614,2014-63824,BBCADD009,SPLIT SYSTEM INDOOR UNIT,N/A,1,1,2000,FACILITIES,DAIKIN,NO ACCESS,,NO ACCESS,4,1,10,2014-63824,,1,No Access,2014-04-25T10:54:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006614,2014-63825,BBCADD009,AUTO CHANGE OVER PANEL,MAINS / GEN NANUAL CHANGEOVER PANEL,1,1,2010,FACILITIES,NOT PRESENT,NOT PRESENT,,,5,1,20,2014-63825,,1,Not Present,2014-04-25T10:56:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
,1006614,2014-63826,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB1,1,1,2010,FACILITIES,EATON MEM,AM10,,,5,1,20,2014-63826,,1,10,2014-04-25T10:57:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006614,2014-63827,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB2,1,1,2010,FACILITIES,EATON MEM,AM10,,,5,1,20,2014-63827,,1,10,2014-04-25T10:58:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006614,2014-63828,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB3,1,1,2010,FACILITIES,EATON MEM,AM4,,,5,1,20,2014-63828,,1,4,2014-04-25T10:59:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006615,2014-63829,BBCADD009,ELECTRIC METER,N/A,1,1,2000,FACILITIES,NO ACCESS,NO ACCESS,,,5,4,20,2014-63829,,1,No Access,2014-04-25T11:02:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006615,2014-63830,BBCADD009,MAIN INCOMING SWITCH,MAIN SWITCH,1,1,2005,FACILITIES,MEM,GLASGOW,,,5,1,30,2014-63830,,1,100,2014-04-25T11:04:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006616,2014-63700,BBCADD009,AUTO CHANGE OVER PANEL,N/A,1,1,2000,FACILITIES,SILCON,SBP-100E,,,0,1,20,2014-63700,,1,Not Present,2014-04-22T09:46:00+00:00,Volts,BBC,,,,GB,OPERATING,,,
,1006616,2014-63701,BBCADD009,UPS UNIT STATIC,N/A,1,1,2000,FACILITIES,APC,SUDPBP1,,GS0334130048,0,1,20,2014-63701,,1,9.7,2014-04-22T09:49:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006616,2014-63702,BBCADD009,UPS UNIT STATIC,N/A,1,1,2000,FACILITIES,APC,SUDPBP1,,NO ACCESS,0,1,20,2014-63702,,1,9.7,2014-04-22T09:54:00+00:00,kV,BBC,,,,GB,OPERATING,,,
,1006616,2014-63703,BBCADD009,ELECTRIC METER,N/A,1,1,2003,FACILITIES,JW INSTRUMENTS,5196B,,,5,4,20,2014-63703,,1,100,2014-04-22T09:55:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006616,2014-63704,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,UPS DB NO. 102,1,1,1990,FACILITIES,SQUARE D,NOT PRESENT,,,4,1,20,2014-63704,,1,17,2014-04-22T09:56:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006616,2014-63705,BBCADD009,MULTI SPLIT SYSTEM INDOOR UNIT,N/A,1,1,1995,FACILITIES,DAIKIN,NOT PRESENT,,NOT PRESENT,2,2,10,2014-63705,,1,Not Present,2014-04-22T09:58:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006616,2014-63706,BBCADD009,SPLIT SYSTEM INDOOR UNIT,N/A,1,1,2005,FACILITIES,MITSUBISHI ELECTRIC,HIGH LEVEL,,HIGH LEVEL,5,2,10,2014-63706,,1,Not Present,2014-04-22T10:00:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006616,2014-63707,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB  COM,1,1,1990,FACILITIES,SQUARE D,NOT PRESENT,,,4,2,20,2014-63707,,1,8,2014-04-22T10:02:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006616,2014-63708,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,MAIN DB,1,1,1990,FACILITIES,MEM,EXEL,,,4,2,20,2014-63708,,1,4,2014-04-22T10:03:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006617,2014-63798,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,PANEL BOARD NDP-LG-01,1,1,2012,FACILITIES,SCHNEIDER ELECTRIC,NOT PRESENT,,,5,2,20,2014-63798,,1,18,2014-04-22T14:50:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006617,2014-63799,BBCADD009,ENERGY METER,UPS SUPPLY METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63799,,1,,2014-04-22T14:54:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63800,BBCADD009,ENERGY METER,UPS BYPASS SUPPLY METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63800,,1,,2014-04-22T14:55:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63801,BBCADD009,ENERGY METER,DB-CTA-01B METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63801,,1,,2014-04-22T14:56:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63802,BBCADD009,ENERGY METER,MDB-LG-01 METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63802,,1,,2014-04-22T14:56:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63803,BBCADD009,ENERGY METER,MDB-CTA-01 METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63803,,1,,2014-04-22T14:57:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63804,BBCADD009,ENERGY METER,MAINTENANCE BYPASS METER,1,1,2012,FACILITIES,SCNEIDER ELECTRIC,PM710,,,5,4,15,2014-63804,,1,,2014-04-22T14:58:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006617,2014-63805,BBCADD009,LV ISOLATORS,SWITCH NDP-LG-01,1,1,2012,FACILITIES,SCHNEIDER ELECTRIC,NOT PRESENT,,,5,2,20,2014-63805,,1,,2014-04-22T15:00:00+00:00,Amps,BBC,,,,GB,OPERATING,,,
,1006618,2014-63793,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,MDB-LG-01,1,1,2013,FACILITIES,SCHNEIDER ELECTRIC,SEA9BN6,,,5,1,20,2014-63793,,1,18,2014-04-22T14:42:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006618,2014-63794,BBCADD009,ELECTRICAL CONTROLS,MCC1,1,1,2013,FACILITIES,NOT PRESENT,NOT PRESENT,,,5,3,10,2014-63794,,1,,2014-04-22T14:44:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006618,2014-63795,BBCADD009,ENERGY METER,BBC HEAT METER,1,1,2012,FACILITIES,NOT PRESENT,NOT PRESENT,,,5,4,15,2014-63795,,1,,2014-04-22T14:44:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006618,2014-63796,BBCADD009,PUMPS (CHILLED WATER CIRCULATING),BBC CTA CHW PUMP P1,1,1,2012,FACILITIES,GRUNDFOS,TPE 40-240/2 A-F-A-BAQE,,NOT PRESENT,5,2,20,2014-63796,,1,N/A,2014-04-22T14:46:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006618,2014-63797,BBCADD009,PUMPS (CHILLED WATER CIRCULATING),BBC CTA CHW PUMP P2,1,1,2012,FACILITIES,GRUNDFOS,TPE 40-240/2 A-F-A-BAQE,,NOT PRESENT,5,2,20,2014-63797,,1,N/A,2014-04-22T14:47:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006619,2014-63806,BBCADD009,SPLIT SYSTEM OUTDOOR UNIT,N/A,1,1,2009,FACILITIES,MITSUBISHI ELECTRIC,PUHZ-RP140VHA2,,68UO1267,5,2,10,2014-63806,,1,Not Present,2014-04-22T15:03:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006620,2014-63821,BBCADD009,ACCESS CONTROL SYSTEM,N/A,1,1,2005,FACILITIES,NOT PRESENT,NOT PRESENT,,NOT PRESENT,5,3,15,2014-63821,,1,,2014-04-25T10:41:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006621,2014-63831,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB4,1,1,2010,FACILITIES,EATON MEM,AM10,,,5,1,20,2014-63831,,1,10,2014-04-25T11:12:00+00:00,Ways,BBC,,,,GB,OPERATING,,,